lr-Adam,step,val_loss,val_accuracy,epoch,train_loss
0.0003333333333333333,0,,,,
,2,2.504027843475342,0.0,0,
,2,,,0,2.605029821395874
0.0007333333333333334,3,,,,
,5,1.9456024169921875,0.0,1,
,5,,,1,2.2799863815307617
0.001,6,,,,
,8,1.795818567276001,0.0,2,
,8,,,2,1.721875786781311
0.001,9,,,,
,11,1.5849040746688843,0.6666666865348816,3,
,11,,,3,1.4313145875930786
0.001,12,,,,
,14,1.4841572046279907,0.3333333432674408,4,
,14,,,4,1.2403751611709595
